Motor Tipi:10
Roket Hızı:20
Roket Uzunluğu1500cm
Roket Çapı:366cm
İtme Gücü:1262kN
Kütle Akış Hızı:1000
x:56.70313 y:54.49468 z:-101.1141
x:56.90851 y:52.51823 z:-101.4805
x:57.11395 y:50.52608 z:-101.8468
x:57.42212 y:47.50842 z:-102.3964
x:57.62756 y:45.47704 z:-102.7627
x:57.73029 y:44.45545 z:-102.9459
x:57.93573 y:42.40052 z:-103.3123
x:58.14117 y:40.32989 z:-103.6786
x:58.34662 y:38.24356 z:-104.045
x:58.65479 y:35.08464 z:-104.5945
x:58.75751 y:34.02382 z:-104.7777
x:59.06567 y:30.81781 z:-105.3272
x:59.27112 y:28.66085 z:-105.6936
x:59.47656 y:26.4882 z:-106.0599
x:59.78473 y:23.19978 z:-106.6094
x:59.88745 y:22.09579 z:-106.7926
x:60.0929 y:19.87605 z:-107.159
x:60.29834 y:17.64061 z:-107.5253
x:60.50372 y:15.38947 z:-107.8916
x:60.81189 y:11.98334 z:-108.4412
x:61.01733 y:9.692963 z:-108.8075
x:61.12006 y:8.541885 z:-108.9907
